"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&ranges%3D2011_2017_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28%28%28%28%28%28%28Graphical+interface%29+OR+graphical+user+interface%29+OR+User-Computer%29+OR+User-Computer+Interfaces%29+OR+User+Computer+Interface%29+OR+Interface%29+OR+business+process%29+OR+BPM%29+OR+BPMS%29+OR+GUI%29",2016/09/30 15:38:18
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Building reverse supply chain of waste mobile phones based on e-commerce platform","Du Zhiping; Lang Menglian","Logistics Sch., Beijing Wuzi Univ., Beijing, China","Logistics, Informatics and Service Sciences (LISS), 2015 International Conference on","","2015","","","1","5","This paper analyzed current reverse supply chain of waste mobile phones and create a new mode of reverse supply chain of waste mobile phones based on e-commerce platform. The process structure of this new reverse supply chain is built in this paper. The cost structure of the new mode was established and then we compared the cost of the new recovery mode and other current recovery modes. At last, the advantages of recycling waste mobile phones based on e-commerce platform have been analyzed.","","","10.1109/LISS.2015.7369779","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7369779","E-commerce;reverse supply chain;waste mobile phone recycling","Buildings;Mobile handsets;Recycling;Supply chains;Transportation","costing;electronic commerce;mobile handsets;recycling;reverse logistics;waste","cost structure;e-commerce;recycling;reverse supply chain;waste mobile phones","","","","15","","","27-29 July 2015","","IEEE","IEEE Conference Publications"
"Low noise amplifier working at frequency range 9–12 GHz","U. Niyazov; P. Stojsavljevic; P. Vizarreta","Department of Electronics, Politecnico di Torino, Italy","Control and Communications (SIBCON), 2011 International Siberian Conference on","","2011","","","234","238","This paper presents specifications and steps of designing a microwave narrowband low noise amplifier working at 12 GHz. It is described the design from theoretical base for modeling amplifier, simulation and optimization with ADS - Advanced Design System, as well as drawing the prototype layout. The obtained results of the measurements show that the amplifier satisfies most of goals such as wideband, stability and economic cost.","","","10.1109/SIBCON.2011.6072641","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6072641","ADS;amplifier;circuit layout;momentum simulation;noise figure;unconditionally stable","Gain;Integrated circuit modeling;Load modeling;Mathematical model;Noise figure;Reflection;Transmission line measurements","circuit layout;low noise amplifiers;microwave amplifiers;optimisation","advanced design system;economic cost;frequency 9 GHz to 12 GHz;microwave narrowband low noise amplifier;modeling amplifier;prototype layout","","0","","5","","","15-16 Sept. 2011","","IEEE","IEEE Conference Publications"
"[Front cover]","","","Cyberworlds (CW), 2011 International Conference on","","2011","","","C1","C1","The following topics are dealt with: malicious activities identification; biometrics; virtual world; texture recognition; 3D stereo animation; face recognition; color image analysis; educational computer game; haptic rendering; Internet; social networking; hidden Markov model; image reconstruction and virtual reality.","","","10.1109/CW.2011.55","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6079336","","","biometrics (access control);computer aided instruction;computer animation;computer games;face recognition;haptic interfaces;hidden Markov models;image colour analysis;image reconstruction;image texture;invasive software;rendering (computer graphics);social networking (online);solid modelling;stereo image processing;virtual reality","3D stereo animation;Internet;biometrics;color image analysis;educational computer game;face recognition;haptic rendering;hidden Markov model;image reconstruction;malicious activities identification;social networking;texture recognition;virtual reality;virtual world","","0","","","","","4-6 Oct. 2011","","IEEE","IEEE Conference Publications"
"A main speaker decision for a distributed telepresence system","Hyun Woo Kim; Mi Suk Lee; Do Young Kim","Spoken Language Process. Res. Sect., Electron. & Telecommun. Res. Inst., Daejeon, South Korea","2013 International Conference on ICT Convergence (ICTC)","","2013","","","862","864","In this paper, we propose a method to detect a main speaker and automatically change into one's high definition (HD) video for a distributed telepresence system, so that the users feel immersive and convenient. In contrast to centralized systems, user equipment (UE) performs the main speaker decision (MSD) with a time synchronization using network time protocol (NTP). The MSD method includes a voice activity detection (VAD) and post-corrections to remove unwanted voice detections and share the same main speaker. We emphasize an audio signal of the main speaker to become more immersive. The proposed approach is applied to the telepresence system developed by ETRI and shows good performances<sup>.</sup>","2162-1233;21621233","","10.1109/ICTC.2013.6675502","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6675502","HD video changing;Main speaker decision;immersive teleconference;telpresence","","audio signals;high definition video;protocols;telecontrol;virtual reality","ETRI;HD video;MSD method;NTP;UE;VAD;audio signal;centralized system;distributed telepresence system;high definition video;main speaker decision;network time protocol;time synchronization;unwanted voice detection removal;user equipment;voice activity detection","","0","","4","","","14-16 Oct. 2013","","IEEE","IEEE Conference Publications"
"[D99] Virtual fixtures for tip-over stability of teleoperated mobile manipulators","D. Patterson; C. White; M. Andreani; D. Grow","New Mexico Inst. of Min. & Technol., Socorro, NM, USA","2014 IEEE Haptics Symposium (HAPTICS)","","2014","","","1","1","Tip-over stability measures are metrics, which consider device configuration and dynamics, that can be used to estimate how close a robotic platform is to falling over. A wide variety of measures have been proposed, but insufficient attention has been given to comparing the accuracy and utility of them. In this demonstration, we will show the use of virtual fixtures to assist an operator in preventing the tipover of an explosive ordnance disposal robot. The need to prevent tip-over in this application is clear - especially given the difficulty in otherwise attending to these constraints when working with large workspace manipulators and while applying large forces for excavation or lifting. Haptic feedback and control of a virtual robot will be provided by a Phantom Omni. By way of comparison, standard and augmented visual feedback methods will also be presented. Various tip-over stability measures will be used to generate the virtual fixtures.","2324-7347;23247347","","10.1109/HAPTICS.2014.6775578","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6775578","","Educational institutions;Fixtures;Manipulator dynamics;Measurement;Mobile communication","haptic interfaces;manipulators;mobile robots","Phantom Omni;augmented visual feedback;device configuration;excavation;explosive ordnance disposal robot;haptic feedback;lifting;robotic platform;teleoperated mobile manipulators;tip-over stability measures;virtual fixtures;virtual robot;workspace manipulators","","0","","","","","23-26 Feb. 2014","","IEEE","IEEE Conference Publications"
"Reducing GPU offload latency via fine-grained CPU-GPU synchronization","D. Lustig; M. Martonosi","Princeton University, USA","High Performance Computer Architecture (HPCA2013), 2013 IEEE 19th International Symposium on","","2013","","","354","365","GPUs are seeing increasingly widespread use for general purpose computation due to their excellent performance for highly-parallel, throughput-oriented applications. For many workloads, however, the performance benefits of offloading are hindered by the large and unpredictable overheads of launching GPU kernels and of transferring data between CPU and GPU.","1530-0897;15300897","","10.1109/HPCA.2013.6522332","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6522332","","Central Processing Unit;Graphics processing units;Hardware;Instruction sets;Kernel;Random access memory;Synchronization","application program interfaces;graphics processing units","API;data latency predictability;data transfer;early kernel launch;fine-grained CPU-GPU synchronization;hardware support;offload latency reduction;overheads reduction;proactive data returns;program execution;real-system measurements;software support;throughput-oriented applications","","17","","43","","","23-27 Feb. 2013","","IEEE","IEEE Conference Publications"
"Design Considerations for CMOS-Integrated Hall-Effect Magnetic Bead Detectors for Biosensor Applications","K. Skucha; S. Gambini; P. Liu; M. Megens; J. Kim; B. E. Boser","Electr. Eng. Dept., Univ. of California, Berkeley, Berkeley, CA, USA","Journal of Microelectromechanical Systems","","2013","22","6","1327","1338","We describe a design methodology for on-chip magnetic bead label detectors based on Hall-effect sensors. Signal errors caused by the label-binding process and other factors that limit the minimum detection area are quantified and adjusted to meet typical assay accuracy standards. The methodology is demonstrated by designing an 8192 element Hall sensor array, implemented in a commercial 0.18 μm CMOS process with single-mask postprocessing. The array can quantify a 1% surface coverage of 2.8 μm beads in 30 seconds with a coefficient of variation of 7.4%. This combination of accuracy and speed makes this technology a suitable detection platform for biological assays based on magnetic bead labels.","1057-7157;10577157","","10.1109/JMEMS.2013.2259615","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6524013","Assay;CMOS;Hall-effect;biosensor;magnetic bead;magnetic particle","","CMOS integrated circuits;Hall effect transducers;biosensors;detector circuits;magnetic sensors;readout electronics;sensor arrays","CMOS integrated circuit;Hall effect magnetic bead detectors;Hall effect sensor;Hall sensor array;assay accuracy standard;biosensor applications;label binding process;on-chip magnetic bead label detector;signal errors;single mask postprocessing;size 0.18 mum","","3","","31","","20130605","Dec. 2013","","IEEE","IEEE Journals & Magazines"
"Fabrication of PbTiO<inf>3</inf> and Pt self-organized nanocrystal array structure on atomically flat sapphire","T. Nishida; K. Asahi; Y. Miura; L. Lu; M. Echizen; Y. Yoneda; H. Kimura; Y. Ishikawa; Y. Uraoka","Graduate School of Materials Science, Nara Institute of Science and Technology, 8916-5 Takayama-cho, Ikoma, 630-0192, Japan","Future of Electron Devices, Kansai, (IMFEDK), 2011 International Meeting for","","2011","","","106","107","The fabrication of ferroelectric nanocrystal materials such as Pb(Zr,Ti)O<sub>3</sub> has been widely researched because of the development of high capacity ferroelectric random access memory devices (FeRAM) and ferroelectric domain physics at the nano scale. The ultra flat surface of electrically conductive materials such as Pt is required for the deposition of the ferroelectric nanocrystal substrate. In this paper, Pt deposition was performed using our newly developed sputtering method (low angle incidence sputtering) on an atomically flat sapphire substrate. Due to Volmer-Waber growth, the sputtered Pt grew into island crystals at the normal deposition rate. However, lateral growth of Pt occurred at a very low rate, and the ultra thin atomically flat Pt layer could be obtained on the atomically flat sapphire surface. The Pt thin layer was also evaluated using electrically conductive atomic force microscope (C-AFM) measurement, confirming electric conduction of the atomically flat Pt layer. The obtained atomically flat Pt layer is expected to be utilized for electrical evaluation of PbTiO<sub>3</sub> nanocrystal array.","","","10.1109/IMFEDK.2011.5944867","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5944867","FeRAM;Nanocrystal;PZT;PbTiO<inf>3</inf>","Atomic layer deposition;Films;Nanocrystals;Sputtering;Substrates;Surface morphology;Surface treatment","atomic force microscopy;electrical conductivity;ferroelectric storage;ferroelectric thin films;island structure;nanofabrication;nanostructured materials;random-access storage;sputter deposition","Al<sub>2</sub>O<sub>3</sub>;C-AFM measurement;FeRAM;PbTiO<sub>3</sub>;Pt;Volmer-Waber growth;atomically flat sapphire substrate;electrically conductive atomic force microscope;electrically conductive material;ferroelectric domain physics;ferroelectric nanocrystal material fabrication;high capacity ferroelectric random access memory device;island crystals;platinum deposition;self-organized nanocrystal array structure fabrication;sputtering method;ultra thin atomically flat platinum layer","","0","","5","","","19-20 May 2011","","IEEE","IEEE Conference Publications"
"Electricity Storage Systems in Medium- and Low-Voltage Networks","A. Becker; H. Loges; S. Kippelt; A. Gitis; G. Merei; D. Echternacht; M. Mueller; A. Zeh; M. Kleimaier; M. Leuthold; H. C. Hesse; H. P. Beck; B. Engel; A. Jossen; A. Moser; C. Rehtanz; D. U. Sauer; R. Witzmann","","International ETG Congress 2015; Die Energiewende - Blueprints for the new energy age; Proceedings of","","2015","","","1","8","This paper presents the results of the ETG (Energietechnische Gesellschaft) Task Force ""Energy Storage in Distribution Networks"". The principle result of the former ETG study ""Energy Storage for the Energiewende - Need for Storage Systems and Impacts on the Transmission Network in Different Scenarios until the Year 2050"" is, that due to energy economic reasons, storage systems are only needed in the transmission system for a very high penetration of renewable energy sources. The research - and therefore the mentioned conclusion - is limited to the application field of balancing the fluctuating power feed-in from renewables and demand. Other fields of application for electricity storage systems, such as the provision of ancillary services or services for private and commercial customers, have not been analyzed. Therefore, the ETG Task Force ""Energy Storage in Distribution Networks"", which started working in March 2013, was dealing with the arising new questions and challenges. The final report has been published in June 2015. Some of the main results are presented in this paper.","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7388474","","","","","","","","","","","17-18 Nov. 2015","","VDE","VDE Conference Publications"
"Automated software testing for application maintenance by using bee colony optimization algorithms (BCO)","K. Karnavel; J. Santhoshkumar","Department of Computer science Engineering, Anand Institute of Higher Technology, India","Information Communication and Embedded Systems (ICICES), 2013 International Conference on","","2013","","","327","330","The discipline of software engineering encompasses knowledge, tools, and methods for defining software requirements, and performing software design, software construction, software testing, and software maintenance tasks. In software development practice, testing accounts for as much as 50% of total development efforts. Testing can be manual, automated, or a combination of both. Manual testing is the process of executing the application and manually interacting with the application, specifying inputs and observing outputs The objective of the project is to test the software application by suitable algorithm. The proposed system has to reduce the application testing moment, easily can find out bug and solve the bug by Regression Testing. Here by we are going to using a safe efficient regression bee colony optimization algorithm(BCO) for construct control flow graphs for a procedure or program and its modified version and use these graphs to select tests that execute changed code from the original test suite. Traceability relation of completeness checking for agent errors. In traceability relation to identifying missing elements in entire application and classifying defect in the testing moment.","","","10.1109/ICICES.2013.6508211","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6508211","Bee colony optimization algorithm;Traceability","Algorithm design and analysis;Computer bugs;Optimization;Software;Software algorithms;Software testing","automatic testing;flow graphs;optimisation;program debugging;program diagnostics;program testing;program verification;regression analysis;software maintenance","BCO;agent errors;automated software testing;changed code execution;completeness checking;control flow graphs;defect classification;missing element identification;regression bee colony optimization algorithm;regression testing;software application;software construction;software design;software development practice;software engineering;software maintenance tasks;software requirements;test suite;traceability relation completeness","","1","","3","","","21-22 Feb. 2013","","IEEE","IEEE Conference Publications"
"Application of wavelet transform in fault diagnosis of rolling bearing","H. Cheng; S. Yu; L. Cheng","College of Automation and Electronic Engineering, Qingdao University of Science and Technology, Qingdao, Shandong, China","2014 10th International Conference on Natural Computation (ICNC)","","2014","","","1066","1070","In order to detect the fault signal of rolling bearing, the fault diagnosis of rolling bearings is carried out by using discrete wavelet transform. The practical vibration speed signals measured from rolling bearings are decomposed and reconstructed by Mallat algorithm. Then an envelope analysis is made to the signal. The fault of rolling bearing component is diagnosed by extracting fault feature from envelop frequency spectrum figure. The experiments results showed that mutation signal can be easily found from detail signals after N-decomposition of the vibration signal of rolling bearing. The existence of fault points can be judged accurately by detecting the characteristic frequency of fault signals from the power spectrum after Hilbert envelop.","2157-9555;21579555","","10.1109/ICNC.2014.6975988","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6975988","fault diagnosis;rolling bearing;wavelet transform","Discrete wavelet transforms;Rolling bearings;Vibrations;Wavelet analysis;Wavelet domain","decomposition;discrete wavelet transforms;fault diagnosis;feature extraction;mechanical engineering computing;rolling bearings;signal detection;signal reconstruction;vibrations","Hilbert envelop;Mallat algorithm;N-decomposition;discrete wavelet transform;envelop frequency spectrum figure analysis;fault diagnosis;fault feature extraction;fault signal detection;power spectrum;rolling bearing component;signal reconstruction;vibration speed signal measurement","","0","","14","","","19-21 Aug. 2014","","IEEE","IEEE Conference Publications"
"Baseband signal processing with UnetStack","M. Chitre; R. Bhatnagar; M. Ignatius; S. Suman","Department of Electrical & Computer Engineering, National University of Singapore","Underwater Communications and Networking (UComms), 2014","","2014","","","1","4","Software-defined underwater modems implement key components of an underwater communication system in soft-ware, rather than hardware, and allow engineers and researchers to modify those components dynamically. These components include not only high-level network protocols, but also physical layer signal processing chains, modulation techniques and error-correction codes. The UnetStack project provides a flexible platform for software-defined open-architecture underwater modems and networks. We outline the software-defined modem functionality in UnetStack that enables users to process baseband acoustic signals directly. We demonstrate several practical applications of baseband signal processing, including an implementation of a software-defined OFDM modem, a delay-Doppler channel estimator, and an underwater vehicle to transponder range estimator.","","","10.1109/UComms.2014.7017156","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7017156","","Baseband;Modems;OFDM;Protocols;Signal processing;Software;Transponders","acoustic signal processing;underwater acoustic communication","UnetStack project;baseband signal processing;delay-Doppler channel estimator;error-correction codes;modulation techniques;physical layer signal processing chains;software-defined OFDM modem;software-defined underwater modems;transponder range estimator;underwater communication system;underwater vehicle","","2","","7","","","3-5 Sept. 2014","","IEEE","IEEE Conference Publications"
"Compact reconnaissance imaging spectrometer for MARS (CRISM)","K. Frink; L. Hayden; M. LeCompte","Center of Excellence in Remote Sensing Education and Research Elizabeth City State University Elizabeth City, North Carolina, USA","Geoscience and Remote Sensing Symposium (IGARSS), 2011 IEEE International","","2011","","","4078","4079","The Compact Reconnaissance Imaging Spectrometer for Mars CRISM (CRISM) carried aboard the Mars Reconnaissance Orbiter (MRO), is the first visible-infrared spectrometer toffy on a NASA Mars mission. CRISM scientists are using the instrument to look for the residue of minerals that form in the presence of water: The fingerprints' left by evaporated hot springs, thermal vents, lakes or ponds. With unprecedented clarity, CRISM is mapping regions on the Martian surface at scales as small as 60 feet (about 18 meters) across, when the spacecraft is 186 miles (300 kilometers) above the planet. CRISM is reading 544 'colors' in reflected sunlight to detect certain minerals on the surface, including signature traces of past water. CRISM alone will generate more than 10 terabytes of data, enough to fill more than 15,000 compact discs. Given that quantity of data being returned by MROCRISM, this project partners with Johns Hopkins University (JHU) Applied Physics Laboratory (API,) scientists of the CRISM team to assist in the data analysis process. The CRISM operations team has prototyped and will provide the necessary software analysis tools. In addition, the CRISM operations team will provide reduced data volume representations of the data as PNG files, accessible via a web interface without recourse to specialized user tools. The web interface allows me to recommend repeating certain of the CRISM observations as survey results indicate, and to enter notes on the features present in the images.","2153-6996;21536996","","10.1109/IGARSS.2011.6050128","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6050128","Digital Divide;Mars;Mathematics;Remote Sensing;Rust;Space Science","Government","Mars;minerals;planetary remote sensing;planetary rocks;planetary surfaces","CRISM;MROCRISM;Mars reconnaissance orbiter;Martian surface;NASA Mars mission;PNG files;data analysis process;evaporated hot spring analysis;lakes;minerals;ponds;reflected sunlight analysis;remote sensing;software analysis tool;visible-infrared spectrometer;web interface","","1","","3","","","24-29 July 2011","","IEEE","IEEE Conference Publications"
"Service mode of third party electronic commerce platform","Han Yun","Economy and Management College, Yunnan Normal University, Kunming, China","2012 International Conference on Information Management, Innovation Management and Industrial Engineering","","2012","1","","158","161","The third party payment companies in China have entered into an era of non-profit competition with price war. Existed problems of the third party payment are analyzed in this article. At the same time, service mode for electronic commerce under the core of platform of the third party payment is put forward creatively. This service mode supplies participants with integrated service resources in the process of electronic commerce, with the third party payment recommending logistics service, ODR service, and so on. The problem of credit of the third party payment is resolved by authority from finance organization. In turns, the problem of service quality of the service resource suppliers is resolved by recommendation and surveillance from the third party payment. Meanwhile, this mode resolves the problem of single profit mode of the third party payment companies.","2155-1456;21551456","","10.1109/ICIII.2012.6339756","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6339756","Service mode;the third party Electronic Commerce;the third party payment","Companies;Contracts;Electronic commerce;Logistics;Security","electronic commerce","China;finance organization;integrated service resource;nonprofit competition;price war;service mode;service quality;service resource supplier;third party electronic commerce platform;third party payment company;third party payment recommending logistics service","","0","","5","","","20-21 Oct. 2012","","IEEE","IEEE Conference Publications"
"Design of reliability based stand alone hybrid wind/photovoltaic power generation system for lumped load","S. Majumdar; K. K. Mandal; N. Chakraborty","Jadav Univ., Kolkata, India","Sustainable Energy and Intelligent Systems (SEISCON 2013), IET Chennai Fourth International Conference on","","2013","","","65","70","Stand-alone power generation systems are an effective method of providing Power to Area which is not supplied by grid. Greater penetration of Renewable Energy Sources can be achieved in such projects. Stochastic simulations can be used to determining the capacity of wind/photovoltaic generation plant. In this paper we used Deficiency of Power Supply (DPS) and Deficiency of Power Supply Probability (DPSP) to evaluate sizing considering reliability requirements. A case study was conducted to analyse a hybrid project, designed to supply a lumped load.","","","10.1049/ic.2013.0295","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7119682","Deficiency of Power Supply;Deficiency of Power Supply Probability;Hybrid Systems;Loss of Load Expectation;Optimization;Reliability;Stochastic;Unit Sizing","","hybrid power systems;photovoltaic power systems;power generation reliability;power supplies to apparatus;wind power plants","DPS;DPSP;deficiency of power supply;deficiency of power supply probability;hybrid project;hybrid wind power generation system;lumped load;photovoltaic power generation system;reliability requirements;renewable energy sources;stand alone power generation systems","","0","","","","","12-14 Dec. 2013","","IET","IET Conference Publications"
"Ongoing renewal of the ROB PTF","W. Aerts; P. Defraigne","Royal Observatory of Belgium, Ringlaan 3, B-1180 Ukkel, Belgium","European Frequency and Time Forum (EFTF), 2012","","2012","","","148","151","In order to increase the reliability of the PTF at ROB and hence the reliability of UTC(ORB), the time was high for replacement of some major equipment. Obviously this was the ideal opportunity to give the PTF an upgrade and to solve some problems and issues. First the “old” PTF architecture was studied to pinpoint its shortcomings and possible improvements. Then a “new” PTF layout was defined and is gradually being implemented. This new PTF setup focuses on automatic (health) status monitoring, as well as on automatic control, of all operational devices. This should allow early detection of problems and prepares the PTF for future implementation of steering algorithms, such as a clock ensemble.","","","10.1109/EFTF.2012.6502354","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6502354","time dissemination;time keeping","","condition monitoring;measurement standards;reliability;time measurement","ORB reliability;PTF layout;Precise Timing Facility;ROB PTF;Royal Observatory of Belgium;UTC reliability;Universal Time Coordinated;automatic control;automatic status monitoring;health monitoring;operational device;steering algorithms","","1","","2","","","23-27 April 2012","","IEEE","IEEE Conference Publications"
"Coordinator Traffic Diffusion for Data-Intensive Zigbee Transmission in Real-time Electrocardiography Monitoring","C. H. Tseng","Dept. of Comput. Sci. & Inf. Eng., Nat. Taipei Univ., Taipei, Taiwan","IEEE Transactions on Biomedical Engineering","","2013","60","12","3340","3346","Zigbee is expected to have an explosive growth in wireless medical monitoring systems because it possesses the advantages of low cost, safe power strength, and easy deployment. However, limited work focuses on solving the bottleneck issue at the Zigbee coordinator in a data-intensive system to guarantee transmission reliability of life-critical data. This paper proposes coordinator traffic diffusion (CTD) method to redirect excessive traffic from coordinator to the sink in electrocardiography (ECG) medical application. CTD router, which implements CTD design, automatically redirects ECG data traffic to the sink node without involving the coordinator, and thus reliable real-time ECG monitoring service can be delivered precisely. CTD design is tested in both TI CC2530 Zigbee platform and NS2 simulation. Experimental result demonstrates that a CTD design can assist routers in successfully delivering real-time ECG data samples reliably with the best transmission rate, 24 kb/s. This performance cannot be achieved by the original Zigbee design.","0018-9294;00189294","","10.1109/TBME.2013.2266373","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6523966","Coordinator;coordinator traffic diffusion (CTD);electrocardiography (ECG);end device (ED);router;sink;zigbee","","Zigbee;biodiffusion;electrocardiography;medical computing;patient monitoring;real-time systems","CTD design;CTD method;CTD router;ECG data traffic;NS2 simulation;TI CC2530 Zigbee platform;Zigbee coordinator;Zigbee design;coordinator traffic diffusion method;critical data;data-intensive Zigbee transmission;data-intensive system;electrocardiography medical application;real-time ECG data samples;real-time ECG monitoring service;real-time electrocardiography monitoring;safe power strength;sink node;transmission rate;transmission reliability;wireless medical monitoring systems","","4","","14","","20130605","Dec. 2013","","IEEE","IEEE Journals & Magazines"
"Three-Dimensional Characterization of Internet Flows","S. Molnar; Z. Moczar","Dept. of Telecommun. & Media Inf., Budapest Univ. of Technol. & Econ., Budapest, Hungary","2011 IEEE International Conference on Communications (ICC)","","2011","","","1","6","In this paper a three-dimensional (size, duration and rate) flow traffic characterization framework is proposed. Detailed investigation of application clusters in the characterization space is discussed and examples from specific applications (P2P, gaming, social networking, video playback) are presented. The framework provides an in-depth understanding of Internet traffic as demonstrated on measured traffic from a commercial network.","1550-3607;15503607","","10.1109/icc.2011.5963476","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5963476","","Distribution functions;IEEE Communications Society;Internet;Mice;Optical switches;YouTube;Yttrium","Internet;pattern clustering;peer-to-peer computing;social networking (online);telecommunication traffic","Internet traffic flows;P2P;application clusters;characterization space;commercial network;gaming;social networking;three-dimensional flow traffic characterization framework;video playback","","10","","12","","","5-9 June 2011","","IEEE","IEEE Conference Publications"
"Xlet-based applications for seismic early warning and Emergency Services in the IDTV environment","M. A. Kazancigil","Doctoral School of Informatics, Universit&#x00E0; degli Studi di Milano, Milan, Italy","Collaboration Technologies and Systems (CTS), 2013 International Conference on","","2013","","","273","280","Xlets are Java applets that are developed for interactive digital television broadcasting. In this paper, I will explain the methods that I used for the creation of Xlet-based applications which utilize online data processing in the IDTV broadcasting environment. The themes that I chose for these Xlets are the Earthquake and Tsunami Early Warning application, the Recent Seismic Activity Report application, and the Emergency Services application. The online data regarding the Recent Seismic Activity Report application are provided by the Kandilli Observatory and Earthquake Research Institute (KOERI) of Bogazici University in Istanbul; while the online data for the Earthquake and Tsunami Early Warning application and the Emergency Services application are provided by the Godoro website which I used for storing (and retrieving by the Xlets) the earthquake and tsunami early warning simulation data, and the DVB network subscriber data for utilizing the emergency services (Police, Ambulance and Fire Department). The main research question of this paper is how to use digital television as a medium to convey timely and pervasive information regarding seismic warning data to disaster-stricken communities.","","","10.1109/CTS.2013.6567241","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6567241","Emergency and disaster prediction;collaborative information systems architectures;collaborative sense-making and information foraging;different place collaboration communications among distributed crisis management teams and organizations;geospatial information technology and geocollaboration;infra-structures;or algorithms that address particular challenges in crisis management;supporting collaborations in emergency operation centers (EOCs);technologies;technologies and services for mediating same-time","Digital video broadcasting;Earthquakes;Internet;Java;Seismic measurements;TV;Tsunami","Java;Web sites;digital television;earthquakes;emergency management;emergency services;interactive television;tsunami","Godoro Web site;IDTV broadcasting;Java applets;Xlet-based application;disaster-stricken community;earthquake;emergency services;interactive digital television;seismic activity report application;seismic early warning services;tsunami","","0","","16","","","20-24 May 2013","","IEEE","IEEE Conference Publications"
"High-voltage SiC devices: Diodes and MOSFETs","J. Mill&#225;n; P. Friedrichs; A. Mihaila; V. Soler; J. Rebollo; V. Banu; P. Godignon","Institut de Micoelectr&#242;nica de Barcelona, Centre Nacional de Microelectr&#242;nica, IMB-CNM-CSIC, Campus UAB, 08193 Bellaterra, Spain","Semiconductor Conference (CAS), 2015 International","","2015","","","11","18","This paper reviews recent achievements on high-voltage SiC-based devices aimed at Wind Power and Solid-State Transformer applications. SiC diodes with voltage ranges between 1.7kV and 9kV have been designed and fabricated. On the other hand, SiC JFETs and, specially, SiC MOSFETs are also under development, and preliminary prototypes of 3.3 kV SiC MOSFETs are reported.","1545-827X;1545827X","","10.1109/SMICND.2015.7355148","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7355148","SiC;SiC diodes;SiC transistors;Wide Band Gap Semiconductors;high-voltage applications","Insulated gate bipolar transistors;PIN photodiodes;Rectifiers;Schottky diodes;Silicon;Silicon carbide","MOSFET;junction gate field effect transistors;semiconductor diodes;silicon compounds;wide band gap semiconductors","JFETs;MOSFETs;SiC;diodes;high-voltage SiC devices;solid-state transformer;voltage 1.7 kV to 9 kV;wind power","","","","16","","","12-14 Oct. 2015","","IEEE","IEEE Conference Publications"
